"_col0","month","day"
"304614","01","01"
"214587","01","02"
"268757","01","03"
"301023","01","04"
"231293","01","05"
"221021","01","06"
"228907","01","07"
"249821","01","08"
"264996","01","09"
"344814","01","10"
"368311","01","11"
"261771","01","12"
"254140","01","13"
"252878","01","14"
"271510","01","15"
"311118","01","16"
"339103","01","17"
"385828","01","18"
"318617","01","19"
"234642","01","20"
"254942","01","21"
"266237","01","22"
"293290","01","23"
"355472","01","24"
"375378","01","25"
"266717","01","26"
"242171","01","27"
"244058","01","28"
"255182","01","29"
"281744","01","30"
"341933","01","31"
"358445","02","01"
"290259","02","02"
"236953","02","03"
"248463","02","04"
"272883","02","05"
"298707","02","06"
"346339","02","07"
"373556","02","08"
"273520","02","09"
"246152","02","10"
"254728","02","11"
"279621","02","12"
"339364","02","13"
"434950","02","14"
"436863","02","15"
"335814","02","16"
"253639","02","17"
"253849","02","18"
"280160","02","19"
"317052","02","20"
"367342","02","21"
"383050","02","22"
"274730","02","23"
"248933","02","24"
"268902","02","25"
"290960","02","26"
"317874","02","27"
"381117","02","28"
"399461","02","29"
"288872","03","01"
"250251","03","02"
"256751","03","03"
"265137","03","04"
"290173","03","05"
"353727","03","06"
"371954","03","07"
"270394","03","08"
"254365","03","09"
"247466","03","10"
"252835","03","11"
"258689","03","12"
"294185","03","13"
"365633","03","14"
"200115","03","15"
"146828","03","16"
"103921","03","17"
"91614","03","18"
"86224","03","19"
"92530","03","20"
"70609","03","21"
"49592","03","22"
"51552","03","23"
"49357","03","24"
"50529","03","25"
"52068","03","26"
"59866","03","27"
"54422","03","28"
"45139","03","29"
"47006","03","30"
"47923","03","31"
"49592","04","01"
"49062","04","02"
"56772","04","03"
"50585","04","04"
"42127","04","05"
"43945","04","06"
"45790","04","07"
"45941","04","08"
"46631","04","09"
"53529","04","10"
"52100","04","11"
"44148","04","12"
"47460","04","13"
"47044","04","14"
"55051","04","15"
"55726","04","16"
"61917","04","17"
"56671","04","18"
"47402","04","19"
"53163","04","20"
"50757","04","21"
"50957","04","22"
"52286","04","23"
"59391","04","24"
"57009","04","25"
"47057","04","26"
"52030","04","27"
"52528","04","28"
"58555","04","29"
"58214","04","30"
"66768","05","01"
"65562","05","02"
"52213","05","03"
"56134","05","04"
"56284","05","05"
"56170","05","06"
"58892","05","07"
"67363","05","08"
"65019","05","09"
"56300","05","10"
"55467","05","11"
"54180","05","12"
"56795","05","13"
"61074","05","14"
"70473","05","15"
"67234","05","16"
"54075","05","17"
"57601","05","18"
"57338","05","19"
"59946","05","20"
"63364","05","21"
"73774","05","22"
"67746","05","23"
"60795","05","24"
"57016","05","25"
"61612","05","26"
"61493","05","27"
"65600","05","28"
"77745","05","29"
"77173","05","30"
"51041","05","31"
"51646","06","01"
"59795","06","02"
"65344","06","03"
"74114","06","04"
"88499","06","05"
"83476","06","06"
"66197","06","07"
"72990","06","08"
"75014","06","09"
"79824","06","10"
"88429","06","11"
"106329","06","12"
"112201","06","13"
"82374","06","14"
"77119","06","15"
"80421","06","16"
"86873","06","17"
"95367","06","18"
"119932","06","19"
"120409","06","20"
"83128","06","21"
"82959","06","22"
"85668","06","23"
"90354","06","24"
"102500","06","25"
"123823","06","26"
"133299","06","27"
"98066","06","28"
"90490","06","29"
"96214","06","30"
"102576","07","01"
"115665","07","02"
"132409","07","03"
"125180","07","04"
"94314","07","05"
"90215","07","06"
"94592","07","07"
"99268","07","08"
"108091","07","09"
"130201","07","10"
"141962","07","11"
"101236","07","12"
"91147","07","13"
"93717","07","14"
"103577","07","15"
"110267","07","16"
"133533","07","17"
"146813","07","18"
"99716","07","19"
"90811","07","20"
"93337","07","21"
"101333","07","22"
"110652","07","23"
"133920","07","24"
"146822","07","25"
"105499","07","26"
"89404","07","27"
"93848","07","28"
"100049","07","29"
"108987","07","30"
"130694","07","31"
"145178","08","01"
"103396","08","02"
"91878","08","03"
"93676","08","04"
"99310","08","05"
"109325","08","06"
"135839","08","07"
"152228","08","08"
"110724","08","09"
"84050","08","10"
"92398","08","11"
"99863","08","12"
"108681","08","13"
"133877","08","14"
"142646","08","15"
"104149","08","16"
"90817","08","17"
"91975","08","18"
"99404","08","19"
"110265","08","20"
"139719","08","21"
"155070","08","22"
"109535","08","23"
"94066","08","24"
"94733","08","25"
"102138","08","26"
"112563","08","27"
"141540","08","28"
"151803","08","29"
"110312","08","30"
"93879","08","31"
"98236","09","01"
"105801","09","02"
"118768","09","03"
"145080","09","04"
"158967","09","05"
"125473","09","06"
"97779","09","07"
"100619","09","08"
"98090","09","09"
"115940","09","10"
"141011","09","11"
"153682","09","12"
"118960","09","13"
"97302","09","14"
"101952","09","15"
"110751","09","16"
"121306","09","17"
"151832","09","18"
"167451","09","19"
"121060","09","20"
"99069","09","21"
"103731","09","22"
"111927","09","23"
"121777","09","24"
"151417","09","25"
"167671","09","26"
"120906","09","27"
"100805","09","28"
"101981","09","29"
"112283","09","30"
"122393","10","01"
"155185","10","02"
"169310","10","03"
"122162","10","04"
"100085","10","05"
"100981","10","06"
"108307","10","07"
"122579","10","08"
"156374","10","09"
"181449","10","10"
"127204","10","11"
"98613","10","12"
"100177","10","13"
"106609","10","14"
"121852","10","15"
"158875","10","16"
"179561","10","17"
"129467","10","18"
"102517","10","19"
"103046","10","20"
"109109","10","21"
"122947","10","22"
"157976","10","23"
"172500","10","24"
"115175","10","25"
"101750","10","26"
"103316","10","27"
"108052","10","28"
"123736","10","29"
"145713","10","30"
"169136","10","31"
"121292","11","01"
"95442","11","02"
"95188","11","03"
"93750","11","04"
"102801","11","05"
"132502","11","06"
"151671","11","07"
"105323","11","08"
"91357","11","09"
"90602","11","10"
"92560","11","11"
"101228","11","12"
"126476","11","13"
"129692","11","14"
"94735","11","15"
"88654","11","16"
"85493","11","17"
"88721","11","18"
"96089","11","19"
"112406","11","20"
"108473","11","21"
"80731","11","22"
"85911","11","23"
"96392","11","24"
"106692","11","25"
"76759","11","26"
"88784","11","27"
"95980","11","28"
"80904","11","29"
"88292","11","30"
"88160","12","01"
"91206","12","02"
"95942","12","03"
"116182","12","04"
"120932","12","05"
"87362","12","06"
"85767","12","07"
"87612","12","08"
"92188","12","09"
"100166","12","10"
"123530","12","11"
"125289","12","12"
"91937","12","13"
"90384","12","14"
"93316","12","15"
"99442","12","16"
"106322","12","17"
"127432","12","18"
"124756","12","19"
"92754","12","20"
"95079","12","21"
"100838","12","22"
"111011","12","23"
"104878","12","24"
"66704","12","25"
"90708","12","26"
"82260","12","27"
"91093","12","28"
"92323","12","29"
"110614","12","30"
"140572","12","31"
